text,label
سال الطالب عن موعد التسجيل,hamza
تم الغاء الاختبار بسبب عطل,hamza
ارجو الإفادة عن نتائج المقرر,hamza
ناقش التقرير اثر التدريب العملي,hamza
يرجى التاكد من اعتماد الطلب,hamza
سال الطالب عن شرط القبول,hamza
تم تاجيل اللقاء بسبب ظرف,hamza
اوضح النظام طريقة التقييم,hamza
ناقش البحث اثر التعلم الذاتي,hamza
يرجى التاكد من اكتمال الملف,hamza
سال الطالب عن موعد التسليم,hamza
تم الغاء المحاضرة اليوم,hamza
أرجو الافاده عن سياسة الحضور,hamza
ناقش التقرير اثر الغياب,hamza
يرجى التاكد من صحة البيانات,hamza
سال الطالب عن نظام الدرجات,hamza
تم تاجيل إعلان النتائج,hamza
اوضح البريد طريقة التسجيل,hamza
ناقش البحث اثر التقويم,hamza
يرجى التاكد من قبول الطلب,hamza
سال الطالب عن فرص التدريب,hamza
تم الغاء النشاط بسبب مطر,hamza
ارجو الافادة عن موعد اللقاء,hamza
ناقش التقرير اثر الضغط,hamza
يرجى التاكد من إرسال الملف,hamza
سال الطالب عن شروط التحويل,hamza
تم تاجيل الاختبار النهائي,hamza
اوضح النظام اليات القبول,hamza
ناقش البحث اثر التعليم,hamza
يرجى التاكد من تسجيل الاسم,hamza
سال الطالب عن سياسة الغياب,hamza
تم الغاء تسجيل المقرر,hamza
اخبرني عن عن رسوم التسجيل,hamza
ناقش التقرير اثر الحضور,hamza
يرجى التاكد من رفع الواجب,hamza
سال الطالب عن اجراءات الحذف,hamza
تم تاجيل تسليم المشروع,hamza
اوضح النظام اليات المتابعة,hamza
ناقش البحث اثر التدريب,hamza
يرجى التاكد من تحديث الطلب,hamza
هذه خطة دراسية معتمده,ta_ha
تشمل الماده وحدة تدريبية,ta_ha
تم تسليم الوثيقه للقسم,ta_ha
توضح اللائحة سياسه القبول,ta_ha
هذه تجربه تعليمية مفيدة,ta_ha
هذه فرصه تدريبية متاحة,ta_ha
تشمل الخطة مواد اختياريه,ta_ha
تم اعتماد الوثيقه الرسمية,ta_ha
هذه تجربة تعلم ناجحه,ta_ha
توضح اللائحه سياسة الغياب,ta_ha
هذه خطة واضحه للتخرج,ta_ha
تشمل المادة تطبيقات عمليه,ta_ha
تم تسليم الوثيقة للإداره,ta_ha
توضح اللائحه سياسة التسجيل,ta_ha
هذه تجربه اكاديميه ثرية,ta_ha
هذه فرصة تعلم مناسبه,ta_ha
تشمل الخطة متطلبات أساسيه,ta_ha
تم اعتماد الخطة الجديده,ta_ha
هذه وثيقة رسمية نهائيه,ta_ha
توضح اللائحة سياسه التقييم,ta_ha
هذه فرصة بحثيه متاحة,ta_ha
تشمل المادة مهارات اساسيه,ta_ha
تم تسليم الوثيقة للعماده,ta_ha
هذه تجربة تدريبية ناجحه,ta_ha
توضح اللائحة سياسه التخرج,ta_ha
هذه خطة دراسية واضحه,ta_ha
تشمل الخطة مقررات تخصصيه,ta_ha
تم اعتماد الوثيقة النهائيه,ta_ha
هذه فرصة تدريبية متقدمه,ta_ha
توضح اللائحه سياسة القبول,ta_ha
هذه فرصة تعلم اضافيه,ta_ha
تشمل الماده تدريب عملي,ta_ha
تم تسليم الوثيقه للطلب,ta_ha
هذه تجربة تعلم ممتعه,ta_ha
هذه فرصة عمل مؤقته,ta_ha
تشمل الخطه نشاط تدريبي,ta_ha
تم اعتماد الخطه النهائية,ta_ha
هذه تجربه تعلم ثرية,ta_ha
توضح اللائحه سياسه القبول,ta_ha
كانت تجربه رائعة,ta_ha
سأل الطالب عن موعد التسجيل,none
تم إلغاء الاختبار بسبب عطل,none
أرجو الإفادة عن نتائج المقرر,none
ناقش التقرير أثر التدريب العملي,none
يرجى التأكد من اعتماد الطلب,none
سأل الطالب عن شرط القبول,none
تم تأجيل اللقاء بسبب ظرف,none
أوضح النظام طريقة التقييم,none
ناقش البحث أثر التعلم الذاتي,none
يرجى التأكد من اكتمال الملف,none
هذه خطة دراسية معتمدة,none
تشمل المادة وحدة تدريبية,none
تم تسليم الوثيقة للقسم,none
توضح اللائحة سياسة القبول,none
هذه تجربة تعليمية مفيدة,none
هذه فرصة تدريبية متاحة,none
تشمل الخطة مواد اختيارية,none
تم اعتماد الوثيقة الرسمية,none
هذه تجربة تعلم ناجحة,none
توضح اللائحة سياسة الغياب,none
